District ,Region,Population,Total House holds,Population densityKms^2,Zonning,Avg Age,literacy rate %,No. of people per house hold,Employment rate,No. of speed tests,tests/populaton,Uptake
Mityana,Central,"362,500","80,522",229,Mixed,15.9,67.88%,3.8,66.9,45,0.01%,0.0694
Mpigi,Central,"286,600","60,256",237.6,Mixed,15.9,81%,4.1,66.9,3,0.00%,0.0059
Mubende,Central,"554,800","151,985",204.6,Mixed,15.9,64%,4.4,66.9,12,0.00%,0.0121
Nakasongola,Central,"215,200","36,526",61.29,Mixed,15.9,65%,4.8,66.9,29,0.01%,0.0753
Obongi,Northern,"49,100","10,673",57.96,Mixed,15.9,67.88%,4.6,66.9,1,0.00%,0.0114
Pakwach,Northern,"196,800","427,826",200.5,Mixed,15.9,50%,4.6,66.9,1,0.00%,0.0028
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
